السنة,الشهر,المطار,المعيار,متوسط أوقات الانتظار (بالدقائق)
2026,3,مطار خليج نيوم الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,-
2026,3,مطار خليج نيوم الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,-
2026,3,مطار خليج نيوم الدولي,وقت الانتظار عند التفتيش الجمركي,-
2026,3,مطار خليج نيوم الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,6.9
2026,3,مطار خليج نيوم الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,2.5
2026,3,مطار خليج نيوم الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,3,مطار البحر الأحمر الدولي,وقت الانتظار عند تسجيل إجراءات السفر,1.8
2026,3,مطار البحر الأحمر الدولي,وقت الانتظار عند التفتيش الأمني,1.0
2026,3,مطار البحر الأحمر الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,1.5
2026,3,مطار البحر الأحمر الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.5
2026,3,مطار البحر الأحمر الدولي,وقت الانتظار عند التفتيش الجمركي,0.7
2026,3,مطار البحر الأحمر الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,16.1
2026,3,مطار البحر الأحمر الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,3,مطار البحر الأحمر الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,3,مطار الملك سعود بن عبدالعزيز بالباحة,وقت الانتظار عند تسجيل إجراءات السفر,0.7
2026,3,مطار الملك سعود بن عبدالعزيز بالباحة,وقت الانتظار عند التفتيش الأمني,0.7
2026,3,مطار الملك سعود بن عبدالعزيز بالباحة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,6.4
2026,3,مطار الملك سعود بن عبدالعزيز بالباحة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.1
2026,3,مطار الملك سعود بن عبدالعزيز بالباحة,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,3,مطار بيشة,وقت الانتظار عند تسجيل إجراءات السفر,0.8
2026,3,مطار بيشة,وقت الانتظار عند التفتيش الأمني,0.4
2026,3,مطار بيشة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,6.6
2026,3,مطار بيشة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,3,مطار بيشة,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,3,مطار طريف,وقت الانتظار عند تسجيل إجراءات السفر,0.4
2026,3,مطار طريف,وقت الانتظار عند التفتيش الأمني,0.2
2026,3,مطار طريف,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.7
2026,3,مطار طريف,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,3,مطار طريف,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,3,مطار شرورة,وقت الانتظار عند تسجيل إجراءات السفر,0.6
2026,3,مطار شرورة,وقت الانتظار عند التفتيش الأمني,0.6
2026,3,مطار شرورة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.6
2026,3,مطار شرورة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.5
2026,3,مطار شرورة,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.3
2026,3,مطار القريات,وقت الانتظار عند تسجيل إجراءات السفر,0.4
2026,3,مطار القريات,وقت الانتظار عند التفتيش الأمني,0.5
2026,3,مطار القريات,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.2
2026,3,مطار القريات,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,3,مطار القريات,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,3,مطار وادي الدواسر,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,3,مطار وادي الدواسر,وقت الانتظار عند التفتيش الأمني,0.4
2026,3,مطار وادي الدواسر,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,6.9
2026,3,مطار وادي الدواسر,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.4
2026,3,مطار وادي الدواسر,وقت انتظار مساعدة ذوي الإعاقة القادمين,1.2
2026,3,مطار رفحاء,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,3,مطار رفحاء,وقت الانتظار عند التفتيش الأمني,0.4
2026,3,مطار رفحاء,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.1
2026,3,مطار رفحاء,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.1
2026,3,مطار رفحاء,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.2
2026,3,مطار الدوادمي,وقت الانتظار عند تسجيل إجراءات السفر,1.6
2026,3,مطار الدوادمي,وقت الانتظار عند التفتيش الأمني,0.2
2026,3,مطار الدوادمي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,6.1
2026,3,مطار الدوادمي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.1
2026,3,مطار الدوادمي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
