السنة,الشهر,المطار,المعيار,متوسط أوقات الانتظار (بالدقائق)
2026,1,مطار خليج نيوم الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,8
2026,1,مطار خليج نيوم الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,1.2
2026,1,مطار خليج نيوم الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,4.3
2026,1,مطار البحر الأحمر الدولي,وقت الانتظار عند تسجيل إجراءات السفر,2.3
2026,1,مطار البحر الأحمر الدولي,وقت الانتظار عند التفتيش الأمني,1.0
2026,1,مطار البحر الأحمر الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,1
2026,1,مطار البحر الأحمر الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.2
2026,1,مطار البحر الأحمر الدولي,وقت الانتظار عند التفتيش الجمركي,1
2026,1,مطار البحر الأحمر الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,15.7
2026,1,مطار البحر الأحمر الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,1,مطار البحر الأحمر الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,1,مطار الملك سعود بن عبدالعزيز بالباحة,وقت الانتظار عند تسجيل إجراءات السفر,0.6
2026,1,مطار الملك سعود بن عبدالعزيز بالباحة,وقت الانتظار عند التفتيش الأمني,0.5
2026,1,مطار الملك سعود بن عبدالعزيز بالباحة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,6.4
2026,1,مطار الملك سعود بن عبدالعزيز بالباحة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,1,مطار الملك سعود بن عبدالعزيز بالباحة,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,1,مطار بيشة,وقت الانتظار عند تسجيل إجراءات السفر,0.9
2026,1,مطار بيشة,وقت الانتظار عند التفتيش الأمني,0.5
2026,1,مطار بيشة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,6.3
2026,1,مطار بيشة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,1,مطار بيشة,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,1,مطار طريف,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,1,مطار طريف,وقت الانتظار عند التفتيش الأمني,0.4
2026,1,مطار طريف,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.8
2026,1,مطار طريف,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,1,مطار طريف,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,1,مطار شرورة,وقت الانتظار عند تسجيل إجراءات السفر,0.9
2026,1,مطار شرورة,وقت الانتظار عند التفتيش الأمني,0.8
2026,1,مطار شرورة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.7
2026,1,مطار شرورة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.5
2026,1,مطار شرورة,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.1
2026,1,مطار القريات,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,1,مطار القريات,وقت الانتظار عند التفتيش الأمني,0.5
2026,1,مطار القريات,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5
2026,1,مطار القريات,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.3
2026,1,مطار القريات,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,1,مطار وادي الدواسر,وقت الانتظار عند تسجيل إجراءات السفر,0.6
2026,1,مطار وادي الدواسر,وقت الانتظار عند التفتيش الأمني,0.4
2026,1,مطار وادي الدواسر,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.1
